index,name,status,group_year,movie_id
1016,lo,i,2000,213149
1017,lo,i,2007,2863319
1018,lo,i,2003,443011
1019,lo,i,1962,58147
1020,lo,i,2002,3511710
1021,li,i,2000,5313
1022,li,i,2001,652539
1023,li,i,2008,17298868
1024,li,i,2010,26340083
1025,li,i,1987,21641410
1026,fox,t,2012,29075630
1027,fox,t,2012,3112909
1028,fox,t,2012,17651907
1029,fox,t,1993,142435
1030,fox,t,1993,3985182
1031,fox,t,1993,2294568
1032,fox,i,2008,12320671
1033,fox,i,2005,481605
1034,fox,i,2000,600351
1035,fox,i,1998,20568913
1036,fox,i,2007,5102319
1037,te,i,2000,5313
1038,jade,i,2009,21918632
1039,jade,i,1996,29785
1040,jade,i,2000,5313
1041,jade,i,2008,6703617
1042,jade,i,1998,30865068
1043,jen,i,2011,3326078
1044,jen,i,2000,5313
1045,jen,i,2010,30884495
1046,jen,i,1982,348292
1047,jen,i,2004,1083768
1048,master,b,1979,312757
1049,master,b,1979,3775827
1050,master,b,1979,1802944
1051,master,i,2008,10945488
1052,master,i,2012,33240946
1053,master,i,2011,31235673
1054,master,i,2000,6339198
1055,master,i,2003,2852763
1056,shu,i,2000,5313
1057,shu,i,2007,5631382
1058,sir,t,1964,3650653
1059,sir,t,1964,2609169
1060,sir,t,1964,3910173
1061,sir,i,1974,9735679
1062,sir,i,2006,16430476
1063,sir,i,2010,7255312
1064,sir,i,2000,5313
1065,sir,i,2004,20735684
1066,tsai,i,2000,5313
1067,bo,t,2002,335298
1068,bo,t,2002,72453
1069,bo,t,2002,5313
1070,bo,i,1995,8549241
1071,bo,i,2005,694787
1072,bo,i,2004,1468152
1073,bo,i,2008,20541493
1074,bo,i,1991,4979871
1075,yu,i,2000,5313
1076,yu,i,2006,14650104
1077,yu,i,2011,29429988
1078,yu,i,2008,5414895
1079,yu,i,2007,5631382
1080,jennie,t,1948,1478417
1081,jennie,i,1995,615418
1082,jennie,i,1981,5729
1083,jennie,i,1999,3747542
1084,jennie,i,1988,13348400
1085,jennie,i,1925,27877448
1086,sybil,t,2011,29034540
1087,sybil,i,2005,1682805
1088,sybil,i,1981,5729
1089,sybil,i,2002,1223711
1090,sybil,i,1976,983692
1091,sybil,i,1957,6991514
1092,harold,t,1959,4845241
1093,harold,t,1959,3591801
1094,harold,t,1959,18909960
1095,harold,t,1984,113460
1096,harold,t,1984,7668793
1097,harold,t,1984,5729
1098,harold,t,1978,1428872
1099,harold,t,1978,724449
1100,harold,t,1978,19149675
1101,harold,i,2004,939561
1102,harold,i,2008,20280702
1103,harold,i,2013,36239136
1104,harold,i,2010,20313018
1105,harold,i,2007,903383
1106,lindsay,t,1972,17925680
1107,lindsay,t,1972,18537242
1108,lindsay,t,1994,1006385
1109,lindsay,t,1994,19860911
1110,lindsay,t,2002,360138
1111,lindsay,t,2002,871130
1112,lindsay,t,2002,1728600
1113,lindsay,i,2010,24642031
1114,lindsay,i,1981,5729
1115,lindsay,i,2007,14208812
1116,lindsay,i,2008,30174182
1117,lindsay,i,2011,32863724
1118,sam,t,1955,74011
1119,sam,t,1955,290970
1120,sam,t,1955,236497
1121,sam,t,1969,1715414
1122,sam,t,1969,74868
1123,sam,t,1969,12515229
1124,sam,t,1986,42993
1125,sam,t,1986,74537
1126,sam,t,1986,673472
1127,sam,b,1964,171029
1128,sam,b,1964,4165940
1129,sam,b,1964,9521170
1130,sam,b,1946,74862
1131,sam,b,1946,3779715
1132,sam,b,1946,3150536
1133,sam,b,1995,695780
1134,sam,b,1995,99123
1135,sam,b,1995,20691749
1136,sam,b,2009,2236472
1137,sam,b,2009,15593618
1138,sam,b,2009,30265620
1139,sam,i,1960,29781388
1140,sam,i,2004,9313808
1141,sam,i,2011,28443565
1142,sam,i,2012,31232513
1143,sam,i,2010,26273128
1144,montague,i,1996,202652
1145,montague,i,1981,5729
1146,montague,i,2011,27609842
1147,montague,i,1941,2705410
1148,montague,i,1939,24709942
1149,aubrey,t,2003,370858
1150,aubrey,t,2003,3226774
1151,aubrey,b,2012,34086866
1152,aubrey,b,2012,32325414
1153,aubrey,i,1981,5729
1154,aubrey,i,1999,1231856
1155,aubrey,i,2007,16039140
1156,aubrey,i,1982,694482
1157,aubrey,i,2008,13838662
1158,andrew,t,1982,29943
1159,andrew,t,1982,5729
1160,andrew,t,1982,106357
1161,andrew,t,1975,163437
1162,andrew,t,1975,4738713
1163,andrew,t,1975,5480913
1164,andrew,t,1960,8056688
1165,andrew,t,1960,10330008
1166,andrew,t,1960,5454727
1167,andrew,t,1946,5192888
1168,andrew,t,1946,12521881
1169,andrew,t,1946,15798260
1170,andrew,b,1987,2209172
1171,andrew,b,1987,1367452
1172,andrew,b,1987,576208
1173,andrew,b,2004,23631832
1174,andrew,b,2004,558336
